gene,logFC,logCPM,LR,PValue,FDR
GNL3,0.273171434507617,6.6652210284568,29.3777430782261,5.95577442594725E-08,1.09074457114649E-07
FAM162A,0.832586312392802,5.88629212327388,118.480801403748,1.36064778062864E-27,6.16493075658727E-27
LHX6,-1.71839413318156,2.95902405494147,320.030946560511,1.42613425217427E-71,2.32124780520562E-70
PTPN18,0.184878246708036,6.55371679318176,12.282970807029,0.000457110141074,0.000650649080666
SEZ6L2,1.44874412815518,6.29464471250798,79.2941853875161,5.3516981975625E-19,1.68220433212955E-18
NUPR1,0.506475482002973,7.25378490308075,22.8888346367924,1.71646020440177E-06,2.871306506139E-06
PPP1R14B,1.53555868841048,6.2817345043574,237.897334098372,1.13028714513886E-53,1.21540552003993E-52
PLEK2,1.40548478564731,3.16832706942342,150.190220898689,1.57536843919985E-34,9.2808394640045E-34
NARF,0.384633314111621,5.4036781173356,33.6950774092209,6.44636088265994E-09,1.2442412211697E-08
SLC17A5,-0.192712874408788,5.26468579259603,9.35465965918843,0.002224192665044,0.0030020755266
CNNM4,0.605120053400623,5.89927951603765,59.6308021866591,1.1443008522133E-14,2.94794544058341E-14
CNNM3,0.162036994810365,5.69809624011226,9.97258565603693,0.00158888203799,0.002170340290909
CNNM1,-0.672023704091941,0.845036023202886,12.1154394127936,0.000500060530732,0.000709208788133
HEYL,0.927976585627903,4.3967863317355,94.8825857144095,2.02019218952574E-22,7.38143333626274E-22
MYOF,-0.388508874320163,8.08534877165066,27.7142871533974,1.40620318914133E-07,2.51774273814401E-07
CHIC2,-0.346949148279648,3.47412811806199,46.4071979444718,9.60619792926394E-12,2.1465132147116E-11
INTS6,0.020088952362133,5.52123233098792,0.112139987001456,0.737720821659309,0.759957002709169
FXC1,-0.099654371677499,5.55952407974658,4.12852937434968,0.042165979147817,0.051042666621835
TIMM13,0.887421309523484,5.83163755963827,111.276906521595,5.1457123676975E-26,2.19082602321666E-25
TIMM10,0.731375068796071,4.74545500938658,117.347883785505,2.40884046607197E-27,1.08024272993706E-26
TIMM9,-0.093932741674508,4.8162469114421,4.38271230245209,0.036305181892704,0.044235709230798
TIMM8B,0.472704750615004,4.74851754651118,48.9658630452855,2.60456265061503E-12,5.99996157085996E-12
EIF2C1,-0.215592015444554,5.7732740186135,19.9722615253077,7.85737800578878E-06,1.26289586272623E-05
LATS2,-0.966604236580577,4.78285307041557,226.892981285452,2.8376001924208E-51,2.82489168888523E-50
DAZAP1,0.653818074992268,6.43358109885386,161.923665718292,4.29898321544229E-37,2.75020433967277E-36
AATF,0.591463779883365,6.10993383419826,90.6270051491254,1.73476450736307E-21,6.08761729692702E-21
SRPK3,1.47749237291725,2.06602670461882,45.4335441550302,1.579066738212E-11,3.49435972246527E-11
PCOLCE2,-4.50853402803123,4.1415967397247,920.878388566332,2.83901218444508E-202,3.61379559512313E-200
OSTF1,0.128798627658618,5.43045137103547,8.09750317005933,0.004432627805395,0.005861238205252
